order_id,order_date,day_of_week,product_category,occasion_tag,quantity_sold,revenue,order_channel,delivery_flag
ORD-00001,2023-01-01,Sunday,orchids,corporate,6,216.54,in-store,False
ORD-00002,2023-01-01,Sunday,tulips,walk-in,1,13.32,in-store,True
ORD-00003,2023-01-01,Sunday,hydrangeas,corporate,6,177.7,online,False
ORD-00004,2023-01-01,Sunday,roses,corporate,6,91.35,online,True
ORD-00005,2023-01-01,Sunday,lilies,anniversary,5,109.99,online,True
ORD-00006,2023-01-01,Sunday,gardenias,sympathy,4,84.85,online,True
ORD-00007,2023-01-01,Sunday,hydrangeas,walk-in,1,22.39,in-store,False
ORD-00008,2023-01-01,Sunday,tulips,birthday,2,29.58,online,True
ORD-00009,2023-01-01,Sunday,sunflowers,walk-in,2,26.96,in-store,False
ORD-00010,2023-01-02,Monday,ferns,corporate,12,104.42,online,True
ORD-00011,2023-01-02,Monday,ferns,walk-in,5,52.59,in-store,False
ORD-00012,2023-01-02,Monday,hydrangeas,birthday,2,52.6,online,False
ORD-00013,2023-01-02,Monday,hydrangeas,birthday,6,149.3,in-store,True
ORD-00014,2023-01-03,Tuesday,ferns,corporate,8,65.92,in-store,False
ORD-00015,2023-01-03,Tuesday,peonies,graduation,1,26.13,in-store,False
ORD-00016,2023-01-04,Wednesday,orchids,corporate,8,340.93,in-store,False
ORD-00017,2023-01-04,Wednesday,lilies,sympathy,6,132.21,online,True
ORD-00018,2023-01-04,Wednesday,sunflowers,walk-in,3,44.28,in-store,False
ORD-00019,2023-01-04,Wednesday,ferns,walk-in,5,66.44,in-store,False
ORD-00020,2023-01-04,Wednesday,sunflowers,graduation,3,32.89,online,True
ORD-00021,2023-01-04,Wednesday,lilies,birthday,2,45.25,in-store,False
ORD-00022,2023-01-04,Wednesday,hydrangeas,hospital,3,98.72,in-store,False
ORD-00023,2023-01-04,Wednesday,hydrangeas,walk-in,3,79.13,in-store,True
ORD-00024,2023-01-04,Wednesday,orchids,corporate,15,647.1,online,True
ORD-00025,2023-01-05,Thursday,roses,walk-in,6,80.14,in-store,False
ORD-00026,2023-01-05,Thursday,roses,walk-in,3,37.37,in-store,False
ORD-00027,2023-01-05,Thursday,roses,Valentine's Day,12,154.93,in-store,True
ORD-00028,2023-01-05,Thursday,tulips,birthday,2,29.29,in-store,False
ORD-00029,2023-01-05,Thursday,lilies,sympathy,6,148.91,online,False
ORD-00030,2023-01-05,Thursday,peonies,walk-in,2,40.13,in-store,False
ORD-00031,2023-01-05,Thursday,sunflowers,walk-in,3,41.06,online,True
ORD-00032,2023-01-06,Friday,orchids,corporate,6,300.91,online,True
ORD-00033,2023-01-06,Friday,lilies,walk-in,3,63.77,online,True
ORD-00034,2023-01-06,Friday,lilies,walk-in,4,66.08,online,True
ORD-00035,2023-01-07,Saturday,hydrangeas,sympathy,3,83.9,online,True
ORD-00036,2023-01-07,Saturday,orchids,corporate,8,333.54,online,True
ORD-00037,2023-01-07,Saturday,peonies,walk-in,6,153.44,in-store,False
ORD-00038,2023-01-07,Saturday,lilies,wedding,15,264.93,in-store,False
ORD-00039,2023-01-07,Saturday,tulips,corporate,10,128.14,online,True
ORD-00040,2023-01-07,Saturday,roses,wedding,5,53.77,online,True
ORD-00041,2023-01-07,Saturday,orchids,corporate,10,351.99,in-store,False
ORD-00042,2023-01-08,Sunday,tulips,walk-in,2,25.34,in-store,False
ORD-00043,2023-01-08,Sunday,lilies,hospital,3,44.14,online,False
ORD-00044,2023-01-08,Sunday,gardenias,sympathy,4,56.2,in-store,False
ORD-00045,2023-01-08,Sunday,gardenias,hospital,5,74.47,in-store,False
ORD-00046,2023-01-08,Sunday,tulips,anniversary,4,56.17,online,False
ORD-00047,2023-01-08,Sunday,ferns,hospital,1,12.72,online,False
ORD-00048,2023-01-08,Sunday,gardenias,anniversary,2,37.42,online,False
ORD-00049,2023-01-08,Sunday,gardenias,walk-in,3,52.23,in-store,True
ORD-00050,2023-01-08,Sunday,tulips,walk-in,5,85.07,in-store,False
ORD-00051,2023-01-08,Sunday,tulips,Valentine's Day,24,333.21,in-store,False
